Uniprot ID,Protein names,Predicted Class by Proteintox
P49123,Cytotoxin 8  ,Cardiotoxic
P49125,Alpha-latrotoxin-associated low molecular weight protein   ,Neurotoxic
P49266,U2-theraphotoxin-Bs1a    ,Neurotoxic
P49267,U1-cyrtautoxin-As1a     ,Neurotoxic
P49269,U1-cyrtautoxin-As1b     ,Neurotoxic
P49270,U1-cyrtautoxin-As1c     ,Neurotoxic
P49271,U3-cyrtautoxin-As1a     ,Neurotoxic
P49272,U1-cyrtautoxin-As1d     ,Neurotoxic
P49371,Hyaluronidase     ,Non-toxic
P51528,Phospholipase A1    ,Non-toxic
P53357,Phospholipase A1 2    ,Non-toxic
P54135,Alpha-mammal toxin BmK-M8    ,Neurotoxic
P55816,Mu-diguetoxin-Dc1b  ,Neurotoxic
P55817,Mu-diguetoxin-Dc1c  ,Neurotoxic
P55902,Alpha-insect toxin BotIT1,Neurotoxic
P55928,Potassium channel toxin alpha-KTx 7.2     ,Neurotoxic
P55966,Toxin Lqh 8/6,Neurotoxic
P56215,Potassium channel toxin alpha-KTx 8.1   ,Neurotoxic
P56569,Makatoxin-1    ,Neurotoxic
P56608,Toxin Tb3  ,Neurotoxic
P56609,Toxin Tb2  ,Neurotoxic
P56611,Toxin Tb1  ,Neurotoxic
P56646,Toxin CsEM1  ,Neurotoxic
P56710,Delta-conotoxin NgVIA,Neurotoxic
P56853,Kappa-theraphotoxin-Gr1b   ,Neurotoxic
P56854,Omega-theraphotoxin-Hg1a   ,Neurotoxic
P57672,Vespulakinin-1 ,Non-toxic
P58296,Toxin Cn11,Neurotoxic
P58305,Granulitoxin ,Non-toxic
P58488,Alpha-like toxin BmK M2  ,Neurotoxic
P58504,Potassium channel toxin alpha-KTx 10.2  ,Neurotoxic
P58623,Conotoxin BtIIIA ,Neurotoxic
P58624,BtIIIB ,Neurotoxic
P58689,Magnificalysin I   ,Non-toxic
P58690,Magnificalysin II   ,Non-toxic
P58752,Birtoxin,Neurotoxic
P58779,Alpha-like toxin CsEv5  ,Non-toxic
P58783,Alpha-conotoxin EIVB,Neurotoxic
P58784,Contryphan-P ,Neurotoxic
P58785,Leu-contryphan-P,Neurotoxic
P58803,Bromoheptapeptide Im,Neurotoxic
P58804,Bromosleeper peptide,Neurotoxic
P58805,Conorfamide-Sr1  ,Neurotoxic
P58807,Chi-conotoxin CMrVIA  ,Neurotoxic
P58841,Conotoxin QcIIIA,Neurotoxic
P58843,Conotoxin QcVIA,Neurotoxic
P58844,Scratcher peptide,Neurotoxic
P58845,Textile convulsant peptide ,Neurotoxic
P58848,Conotoxin au5a,Neurotoxic
P58911,DELTA-alicitoxin-Pse2a   ,Non-toxic
P58912,DELTA-alicitoxin-Pse2b   ,Non-toxic
P58914,Omega-conotoxin RVIA,Neurotoxic
P58915,Omega-conotoxin TVIA ,Neurotoxic
P58918,Omega-conotoxin CVIB,Neurotoxic
P58919,Omega-conotoxin CVIC,Neurotoxic
P58922,Conotoxin Gla-TxVI ,Neurotoxic
P58926,Mu-conotoxin PnIVA,Neurotoxic
P58927,Mu-conotoxin PnIVB,Neurotoxic
P58930,Waglerin-4  ,Neurotoxic
P58990,Conophysin-R,Neurotoxic
P59066,Phospholipase A2   ,Non-toxic
P59072,Short neurotoxin N1 ,Neurotoxic
P59073,Short neurotoxin N2 ,Neurotoxic
P59084,DeltaKappa-actitoxin-Avd4b    ,Neurotoxic
P59170,Acidic phospholipase A2 4   ,Neurotoxic
P59171,Acidic phospholipase A2 5    ,Neurotoxic
P59172,Acidic phospholipase A2 5   ,Neurotoxic
P59261,Melittin  ,Non-toxic
P59262,Melittin  ,Non-toxic
P59275,Cobrotoxin-b   ,Neurotoxic
P59356,Alpha-like toxin Lqh6  ,Neurotoxic
P59357,Alpha-like toxin Lqh7  ,Neurotoxic
P59359,Basic phospholipase A2 S2-22   ,Neurotoxic
P59360,Neurotoxin BmK-II   ,Neurotoxic
P59854,Alpha-like toxin BmK-M7  ,Neurotoxic
P59863,Beta-toxin BotIT2  ,Neurotoxic
P59864,Beta-insect depressant toxin BotIT6 ,Neurotoxic
P59870,Potassium channel toxin alpha-KTx 5.5 ,Neurotoxic
P59886,Potassium channel toxin alpha-KTx 3.8  ,Neurotoxic
P59897,Beta-toxin Cii1  ,Neurotoxic
P59898,Beta-toxin Cll2  ,Neurotoxic
P59899,Toxin Cll2b  ,Neurotoxic
P59925,Potassium channel toxin alpha-KTx 4.3 ,Neurotoxic
P59939,Potassium channel toxin gamma-KTx 3.1     ,Neurotoxic
P59940,Potassium channel toxin gamma-KTx 4.12 ,Neurotoxic
P59943,Potassium channel toxin alpha-KTx 1.12  ,Neurotoxic
P59944,Potassium channel toxin alpha-KTx 1.13  ,Neurotoxic
P60163,Toxin Cg2,Neurotoxic
P60164,Potassium channel toxin alpha-KTx 11.1  ,Neurotoxic
P60165,Potassium channel toxin alpha-KTx 11.2  ,Neurotoxic
P60177,Mu-agatoxin-Hc1b   ,Neurotoxic
P60178,Mu-agatoxin-Aa1c   ,Neurotoxic
P60207,Mu-conotoxin SmIIIA,Neurotoxic
P60209,Potassium channel toxin alpha-KTx 9.4 ,Neurotoxic
P60233,Potassium channel toxin alpha-KTx 15.1 ,Neurotoxic
P60234,Muscarinic m1-toxin2,Neurotoxic
P60235,Muscarinic m1-toxin3,Neurotoxic
P60236,Muscarinic m1-toxin4,Neurotoxic
P60252,Opicalcin-1  ,Neurotoxic
P60253,Opicalcin-2  ,Neurotoxic
P60267,Beta-toxin Css6  ,Neurotoxic
P60272,U2-hexatoxin-Hi1a   ,Neurotoxic
P60273,Kappa-theraphotoxin-Gr2a   ,Neurotoxic
P60302,Cytotoxin 3   ,Cardiotoxic
P60310,Cytotoxin 5b   ,Cardiotoxic
P60589,Nawaprin,Neurotoxic
P60623,Cysteine-rich venom protein   ,Non-toxic
P60771,Cobrotoxin   ,Neurotoxic
P60772,Neurotoxin 5 ,Neurotoxic
P60773,Short neurotoxin 1 ,Neurotoxic
P60975,Mu-theraphotoxin-Hhn1a    ,Neurotoxic
P60977,U1-nemetoxin-Csp1b  ,Neurotoxic
P60978,U1-nemetoxin-Csp1c  ,Neurotoxic
P60979,Omega-filistatoxin-Kh1a  ,Neurotoxic
P60991,Kappa-theraphotoxin-Sc1a   ,Neurotoxic
P61094,Mu-segestritoxin-Sf1i  ,Neurotoxic
P61096,Mu-segestritoxin-Sf1b   ,Neurotoxic
P61231,Kappa-theraphotoxin-Ps1b   ,Neurotoxic
P61232,Beta-hexatoxin-Mr1a   ,Neurotoxic
P61233,U5-hexatoxin-Mr1a   ,Neurotoxic
P61508,M-lycotoxin-Hc2a   ,Non-toxic
P61789,Omega-sparatoxin-Hv1a  ,Neurotoxic
P61790,Omega-sparatoxin-Hv1b  ,Neurotoxic
P61791,Kappa-sparatoxin-Hv1e  ,Neurotoxic
P61792,Kappa-sparatoxin-Hv1d  ,Neurotoxic
P62376,Short neurotoxin 2 ,Neurotoxic
P62377,Cytotoxin-like basic protein   ,Cardiotoxic
P62383,Disintegrin trigramin-gamma ,Neurotoxic
P62384,Disintegrin albolabrin ,Neurotoxic
P62388,Pelamitoxin a,Neurotoxic
P62390,Cytotoxin 11 ,Cardiotoxic
P62394,Cytotoxin 11 ,Cardiotoxic
P63019,Alpha-toxin Cn12,Neurotoxic
P63175,Myotoxin-2 ,Neurotoxic
P63176,Myotoxin-3,Neurotoxic
P63327,Crotamine Ile-19 ,Neurotoxic
P68407,Melittin  ,Non-toxic
P68408,Melittin  ,Non-toxic
P68409,Melittin  ,Non-toxic
P68412,Short neurotoxin 1 ,Neurotoxic
P68415,Short neurotoxin 1 ,Neurotoxic
P68416,Short neurotoxin 1  ,Neurotoxic
P68417,Short neurotoxin 1 ,Neurotoxic
P68418,Short neurotoxin 1 ,Neurotoxic
P68419,Short neurotoxin 1 ,Neurotoxic
P68421,U1-theraphotoxin-Hs1a    ,Neurotoxic
P68426,U6-theraphotoxin-Hs1a    ,Neurotoxic
P68521,Disintegrin durissin ,Neurotoxic
P68721,Beta-insect excitatory toxin LqhIT1a    ,Neurotoxic
P68722,Beta-insect excitatory toxin LqhIT1b    ,Neurotoxic
P68723,Beta-insect excitatory toxin LqhIT1c    ,Neurotoxic
P68724,Beta-insect excitatory toxin LqhIT1d    ,Neurotoxic
P68725,Insect toxin 2-13 ,Neurotoxic
P68726,Insect toxin 2-53 ,Neurotoxic
P68727,Beta-insect depressant toxin BmKIT2 ,Neurotoxic
P69034,Protopolybia-mastoparan-I  ,Non-toxic
P69035,Protopolybia-mastoparan-II  ,Non-toxic
P69036,Protopolybia-mastoparan-III  ,Non-toxic
P69392,Beta-pompilidotoxin ,Non-toxic
P69438,Myotoxin TmC4-47.2,Non-toxic
P69745,Conantokin-L ,Non-toxic
P69749,Delta-conotoxin BuVIA   ,Neurotoxic
P69758,Conotoxin Vc6a ,Neurotoxic
P69759,Conotoxin Vc6b ,Neurotoxic
P69762,Conotoxin Vc6c ,Neurotoxic
P69764,Conotoxin mr5a,Neurotoxic
P69765,Conotoxin vc5a ,Neurotoxic
P69768,Conotoxin vc5b ,Neurotoxic
P69769,Kappa-conotoxin RIIIK  ,Neurotoxic
P69770,Conotoxin Gla-MrII ,Neurotoxic
P69943,Delta-actitoxin-Aer1a   ,Neurotoxic
P69944,U-actitoxin-Aer2a   ,Neurotoxic
P69945,U-actitoxin-Aer2b   ,Neurotoxic
P70089,Basic phospholipase A2 homolog 7   ,Neurotoxic
P79799,Natriuretic peptide Mc-NP  ,Non-toxic
P79810,Cytotoxin 1c ,Cardiotoxic
P79845,Cysteine-rich venom protein ,Non-toxic
P80003,Acidic phospholipase A2 PA4    ,Non-toxic
P80494,Muscarinic toxin alpha ,Neurotoxic
P80548,Three-finger toxin Mnn I   ,Neurotoxic
P80669,Potassium channel toxin alpha-KTx 9.3   ,Neurotoxic
P80671,Potassium channel toxin alpha-KTx 8.4   ,Neurotoxic
P80950,Neurotoxin-like protein STR1  ,Neurotoxic
P80962,Beta-insect depressant toxin BaIT2   ,Neurotoxic
P80965,Long neurotoxin OH-5 ,Neurotoxic
P81017,Snaclec echicetin subunit alpha,Non-toxic
P81030,Muscarinic toxin 1  ,Neurotoxic
P81111,Snaclec alboaggregin-A subunit alpha   ,Non-toxic
P81112,Snaclec alboaggregin-A subunit alpha'  ,Non-toxic
P81113,Snaclec alboaggregin-A subunit beta  ,Non-toxic
P81114,Snaclec alboaggregin-A subunit beta'  ,Non-toxic
P81115,Snaclec alboaggregin-B subunit alpha  ,Non-toxic
P81116,Snaclec alboaggregin-B subunit beta  ,Non-toxic
P81129,PI-stichotoxin-She2b  ,Neurotoxic
P81240,Insect toxin LqhIT5  ,Neurotoxic
P81478,Acidic phospholipase A2 2     ,Neurotoxic
P81504,Insect toxin AaHIT5   ,Neurotoxic
P81508,Snaclec CHH-B subunit alpha,Non-toxic
P81509,Snaclec CHH-B subunit beta,Non-toxic
P81547,PI-actitoxin-Axm2a   ,Neurotoxic
P81548,PI-actitoxin-Axm2b  ,Neurotoxic
P81595,Omega-hexatoxin-Hv1b   ,Neurotoxic
P81599,Omega-hexatoxin-Hv1f   ,Neurotoxic
P81630,Disintegrin EC3A,Neurotoxic
P81631,Disintegrin EC3B,Neurotoxic
P81658,Kunitz-type serine protease inhibitor homolog calcicludine  ,Cardiotoxic
P81714,Cystatin,Non-toxic
P81727,Conotoxin Bt9.2 ,Neurotoxic
P81742,Disintegrin EMF10A   ,Neurotoxic
P81744,Omega-agatoxin-Aa3b    ,Neurotoxic
P81782,Bucandin,Neurotoxic
P81791,U7-ctenitoxin-Pn1a   ,Neurotoxic
P81797,Zinc metalloproteinase multactivase catalytic subunit   ,Non-toxic
P81798,Snaclec multactivase regulatory subunit,Neurotoxic
P81897,Kappa-actitoxin-Aeq4a  ,Neurotoxic
P81996,Snaclec echicetin subunit beta,Non-toxic
P82172,Defensin-like peptide 1   ,Neurotoxic
P82226,Lambda-hexatoxin-Hv1b       ,Neurotoxic
P82227,Lambda-hexatoxin-Hv1a       ,Neurotoxic
P82414,M-poneritoxin-Ng3a   ,Non-toxic
P82415,U1-poneritoxin-Ng3b   ,Non-toxic
P82416,M-poneritoxin-Ng3c   ,Non-toxic
P82417,M-poneritoxin-Ng3d   ,Non-toxic
P82418,U1-poneritoxin-Ng3e   ,Non-toxic
P82419,M-poneritoxin-Ng3f   ,Neurotoxic
P82420,U1-poneritoxin-Ng3g   ,Neurotoxic
P82421,U1-poneritoxin-Ng2a   ,Non-toxic
P82422,M-poneritoxin-Ng2b   ,Non-toxic
P82423,M-poneritoxin-Ng1a   ,Non-toxic
P82424,U1-poneritoxin-Ng1b   ,Non-toxic
P82425,M-poneritoxin-Ng1c   ,Non-toxic
P82426,M-poneritoxin-Ng1d   ,Non-toxic
P82427,M-poneritoxin-Ng1e   ,Non-toxic
P82462,Muscarinic toxin-like protein 1 ,Neurotoxic
P82463,Muscarinic toxin-like protein 2 ,Neurotoxic
P82465,Disintegrin EC6 subunit alpha ,Neurotoxic
P82466,Disintegrin EC6 subunit beta ,Neurotoxic
P82601,U1-theraphotoxin-Cv1a    ,Neurotoxic
P82815,Bukatoxin  ,Neurotoxic
P82849,Cobrotoxin II    ,Neurotoxic
P82852,Omega-hexatoxin-Hv2a    ,Neurotoxic
P82895,Acidic phospholipase A2 4    ,Non-toxic
P83041,Disintegrin CC5 ,Neurotoxic
P83043,Disintegrin CC8A,Neurotoxic
P83044,Disintegrin CC8B,Neurotoxic
P83112,Potassium channel toxin alpha-KTx 1.10  ,Neurotoxic
P83224,Natriuretic peptide TNPa   ,Neurotoxic
P83225,Natriuretic peptide TNP-a  ,Neurotoxic
P83226,Natriuretic peptide TNP-a  ,Neurotoxic
P83227,Natriuretic peptide TNPb   ,Neurotoxic
P83229,Natriuretic peptide TNP-b  ,Neurotoxic
P83231,Natriuretic peptide TNP-c  ,Non-toxic
P83234,Ohanin,Non-toxic
P83239,Pandinin-1     ,Non-toxic
P83240,Pandinin-2     ,Non-toxic
P83244,Potassium channel toxin alpha-KTx 13.2  ,Neurotoxic
P83247,M-oxotoxin-Ot1a   ,Non-toxic
P83248,M-oxotoxin-Ot2a   ,Non-toxic
P83249,M-oxotoxin-Ot2b   ,Non-toxic
P83250,M-oxotoxin-Ot2c   ,Non-toxic
P83251,M-oxotoxin-Ot2d   ,Non-toxic
P83258,Delta-amaurobitoxin-Pl1c   ,Neurotoxic
P83314,Opistoporin-2   ,Non-toxic
P83345,Cytotoxin sagitoxin ,Cardiotoxic
P83346,Bucain,Neurotoxic
P83390,Conotoxin,Neurotoxic
P83435,Alpha-toxin Tf4  ,Neurotoxic
P83451,N--L-asparaginase     -L-asparagine amidase ,Non-toxic
P83490,Alpha-colubritoxin,Neurotoxic
P83542,Phospholipase A1   ,Non-toxic
P83557,Mu-hexatoxin-Mg1b  ,Neurotoxic
P83559,Mu-hexatoxin-Mg2a  ,Neurotoxic
P83588,Omega-actinopoditoxin-Mb1a   ,Neurotoxic
P83608,Delta-actinopoditoxin-Mb1a   ,Neurotoxic
P83620,Cupiennin-1b   ,Neurotoxic
P83621,Cupiennin-1c   ,Neurotoxic
P83622,Cupiennin-1d   ,Neurotoxic
P83658,Disintegrin schistatin,Neurotoxic
P83660,Bradykinin-related peptide Cd-146,Neurotoxic
P83745,Kappa-theraphotoxin-Tb1a   ,Neurotoxic
P83746,Kappa-theraphotoxin-Tb1b   ,Neurotoxic
P83747,Kappa-theraphotoxin-Tb1c   ,Neurotoxic
P83892,U4-ctenitoxin-Pr1a  ,Neurotoxic
P83893,U9-ctenitoxin-Pr1a  ,Neurotoxic
P83895,U1-ctenitoxin-Pk1a  ,Neurotoxic
P83896,U4-ctenitoxin-Pk1a  ,Neurotoxic
P83901,U8-ctenitoxin-Pr1a  ,Neurotoxic
P83902,U8-ctenitoxin-Pk1a  ,Neurotoxic
P83903,U1-ctenitoxin-Pr1a  ,Neurotoxic
P83904,Delta-ctenitoxin-Pr2d  ,Neurotoxic
P83905,U2-ctenitoxin-Pk1a  ,Neurotoxic
P83909,U2-ctenitoxin-Pr1a  ,Neurotoxic
P83910,U6-ctenitoxin-Pk1a  ,Neurotoxic
P83915,U3-ctenitoxin-Pk1a   ,Neurotoxic
P83996,U17-ctenitoxin-Pn1a  ,Neurotoxic
P83997,U19-ctenitoxin-Pn1a  ,Neurotoxic
P83998,U14-ctenitoxin-Pn1a  ,Neurotoxic
P83999,U18-ctenitoxin-Pn1a  ,Neurotoxic
P84000,U10-ctenitoxin-Pr1a  ,Neurotoxic
P84011,U11-ctenitoxin-Pn1b  ,Neurotoxic
P84012,U7-ctenitoxin-Pk1a  ,Neurotoxic
P84014,Omega-ctenitoxin-Pr2a  ,Neurotoxic
P84015,U23-ctenitoxin-Pn1a  ,Neurotoxic
P84031,U7-ctenitoxin-Pr1a   ,Neurotoxic
P84032,U24-ctenitoxin-Pn1a  ,Non-toxic
P84033,U21-ctenitoxin-Pn1a   ,Non-toxic
P84062,U5-ctenitoxin-Pk1a   ,Neurotoxic
P84093,U20-ctenitoxin-Pn1a  ,Neurotoxic
P84197,Conotoxin Rg11a,Neurotoxic
P84388,Polybine-1 ,Neurotoxic
P84470,Kunitz-type serine protease inhibitor homolog T2 B chain ,Neurotoxic
P84471,Kunitz-type serine protease inhibitor homolog T1-1 B chain ,Neurotoxic
P84472,Basic phospholipase A2 T1-2 A chain   ,Neurotoxic
P84473,Kunitz-type serine protease inhibitor homolog T1-2 B chain ,Neurotoxic
P84474,Basic phospholipase A2 T2 A chain   ,Neurotoxic
P84475,Basic phospholipase A2 T1-1 A chain   ,Neurotoxic
P84630,Potassium channel toxin alpha-KTx 13.3 ,Neurotoxic
P84631,Beta-mammal toxin Tpa2 ,Neurotoxic
P84685,Toxin To6   ,Neurotoxic
P84688,Toxin To7   ,Neurotoxic
P84698,Conotoxin de13a,Neurotoxic
P84704,Conotoxin vil14a ,Non-toxic
P84705,Conotoxin flf14a,Neurotoxic
P84706,Conotoxin flf14b,Neurotoxic
P84707,Conotoxin flf14c ,Non-toxic
P84745,1095.6 Da venom vasodilator peptide,Non-toxic
P84747,1370.6 Da venom vasodilator peptide,Neurotoxic
P84756,Omega-oxotoxin-Ol1b   ,Neurotoxic
P84803,Cysteine-rich venom protein 24 ,Non-toxic
P84804,Cysteine-rich venom protein 23 ,Non-toxic
P84806,Cysteine-rich venom protein 25 ,Non-toxic
P84807,Cysteine-rich venom protein 25-A ,Non-toxic
P84808,Cysteine-rich venom protein kaouthin-2  ,Non-toxic
P84835,Kappa-theraphotoxin-Pg1a   ,Neurotoxic
P84836,Kappa-theraphotoxin-Pg1b   ,Neurotoxic
P84837,Kappa-theraphotoxin-Pg2a   ,Neurotoxic
P84864,Potassium channel toxin alpha-KTx 6.14 ,Neurotoxic
P84919,U-actitoxin-Bcs2a  ,Neurotoxic
P84987,C-type Lectin CRL ,Non-toxic
P85009,Alpha-conotoxin-like Reg1b/Reg1c,Neurotoxic
P85010,Alpha-conotoxin-like Reg1d,Neurotoxic
P85011,Alpha-conotoxin-like Reg1e,Neurotoxic
P85012,Alpha-conotoxin-like Reg1f,Neurotoxic
P85014,Conophan vil-M,Non-toxic
P85015,Conophan vil-I'/vil-I',Non-toxic
P85017,Conotoxin Reg12e ,Neurotoxic
P85024,Bradykinin inhibitor peptide ,Non-toxic
P85025,Bradykinin inhibitor peptide ,Non-toxic
P85032,U21-ctenitoxin-Co1a  ,Neurotoxic
P85033,U4-ctenitoxin-Co1a   ,Neurotoxic
P85034,U17-ctenitoxin-Co1a  ,Neurotoxic
P85039,Kunitz-type serine protease inhibitor C8    ,Neurotoxic
P85040,Kunitz-type serine protease inhibitor C9   ,Neurotoxic
P85041,Kunitz-type serine protease inhibitor C10   ,Neurotoxic
P85066,Toxin GaTx1,Neurotoxic
P85140,Alpha-bungarotoxin N3 ,Neurotoxic
P85144,U4-ctenitoxin-Co1c  ,Neurotoxic
P85159,Orpotrin,Neurotoxic
P85160,Bradykinin-potentiating peptide 7a    ,Neurotoxic
P85161,Bradykinin-potentiating peptide 11d ,Neurotoxic
P85163,Bradykinin-potentiating peptide 14a  ,Non-toxic
P85168,Bradykinin-potentiating peptide 12a ,Neurotoxic
P85169,Bradykinin-potentiating peptide 13b ,Neurotoxic
P85247,M-zodatoxin-Lt8h   ,Non-toxic
P85254,M-zodatoxin-Lt8b   ,Non-toxic
P85255,M-zodatoxin-Lt8c   ,Non-toxic
P85256,M-zodatoxin-Lt8d   ,Non-toxic
P85257,M-zodatoxin-Lt8e   ,Non-toxic
P85262,U9-ctenitoxin-Co1a  ,Neurotoxic
P85263,U13-ctenitoxin-Co1a  ,Neurotoxic
P85264,U15-ctenitoxin-Co1a  ,Neurotoxic
P85265,U12-ctenitoxin-Co1a  ,Neurotoxic
P85266,U1-ctenitoxin-Co1a  ,Neurotoxic
P85268,U10-ctenitoxin-Co1b  ,Neurotoxic
P85269,U10-ctenitoxin-Co1a  ,Neurotoxic
P85270,U3-ctenitoxin-Co1a  ,Neurotoxic
P85277,U11-ctenitoxin-Co1b  ,Neurotoxic
P85429,Cytotoxin 1f ,Neurotoxic
P85497,Omega-theraphotoxin-Ba1a  ,Neurotoxic
P85506,Mu-thomitoxin-Hme1b  ,Neurotoxic
P85520,Oxiana weak toxin ,Neurotoxic
P85529,Potassium channel toxin alpha-KTx 2.13 ,Neurotoxic
P85840,Venom allergen 5    ,Non-toxic
P85873,Wasp kinin PMM1 ,Non-toxic
P86094,Short neurotoxin MS11  ,Neurotoxic
P86095,Three-finger toxin MS1 ,Neurotoxic
P86096,Long neurotoxin MS2,Neurotoxic
P86097,Three-finger toxin MS3 ,Neurotoxic
P86098,Long neurotoxin MS4,Neurotoxic
P86099,Long neurotoxin MS5,Neurotoxic
P86105,Potassium channel toxin alpha-KTx 6 OcyKTx4,Neurotoxic
P86115,Potassium channel toxin alpha-KTx6 OcyKTx1,Neurotoxic
P86116,Potassium channel toxin alpha-KTx 6.17 ,Neurotoxic
P86120,Phospholipase A2 2  ,Neurotoxic
P86121,Scorpine-like,Neurotoxic
P86166,Turripeptide Pal9a,Neurotoxic
P86255,Conopressin-Tx,Neurotoxic
P86256,Chi-conotoxin-like 1 ,Neurotoxic
P86257,Chi-conotoxin-like 2 ,Neurotoxic
P86258,Conotoxin tx5b ,Neurotoxic
P86260,Conotoxin tx3d ,Neurotoxic
P86262,Conotoxin tx3e  ,Neurotoxic
P86264,Conotoxin tx5d ,Neurotoxic
P86269,Purotoxin-1   ,Neurotoxic
P86270,Potassium channel toxin alpha-KTx 21.1  ,Neurotoxic
P86271,Potassium channel toxin Ts16 ,Neurotoxic
P86295,Porflan,Non-toxic
P86297,Tachykinin-like peptide-XV    ,Non-toxic
P86298,Tachykinin-like peptide-I    ,Non-toxic
P86299,Tachykinin-like peptide-II    ,Non-toxic
P86300,Tachykinin-like peptide-III    ,Non-toxic
P86301,Tachykinin-like peptide-IV    ,Non-toxic
P86302,Tachykinin-like peptide-V    ,Non-toxic
P86303,Tachykinin-like peptide-VI    ,Non-toxic
P86304,Tachykinin-like peptide-VII    ,Non-toxic
P86305,Tachykinin-like peptide-VIII    ,Non-toxic
P86306,Tachykinin-like peptide-IX    ,Non-toxic
P86307,Tachykinin-like peptide-X    ,Non-toxic
P86308,Tachykinin-like peptide-XI    ,Non-toxic
P86309,Tachykinin-like peptide-XII    ,Neurotoxic
P86310,Tachykinin-like peptide-XIII    ,Non-toxic
P86311,Tachykinin-like peptide-XIV    ,Non-toxic
P86362,Alpha-conotoxin-like ts14a,Neurotoxic
P86368,Basic phospholipase A2 3    ,Non-toxic
P86382,Cytotoxin 7 ,Cardiotoxic
P86398,Potassium channel toxin alpha-KTx 9.10 ,Neurotoxic
P86399,Neurotoxin lambda-MeuTx ,Neurotoxic
P86401,Chlorotoxin-like peptide MeuClTx ,Neurotoxic
P86402,Chloride channel toxin-like peptide MeuClTx-1 ,Neurotoxic
P86418,Neurotoxin PRTx26An0C3,Neurotoxic
P86420,Frontoxin I ,Neurotoxic
P86421,Frontoxin II   ,Neurotoxic
P86422,Frontoxin III ,Neurotoxic
P86423,Frontoxin IV ,Neurotoxic
P86424,Frontoxin V ,Neurotoxic
P86425,Frontoxin VI ,Neurotoxic
P86436,Chlorotoxin-like peptide AaCtx,Neurotoxic
P86461,Toxin Bcg III 31.16 ,Neurotoxic
P86465,U-actitoxin-Bcg2a    ,Neurotoxic
P86467,Toxin Bcg III 23.41  ,Neurotoxic
P86500,Conotoxin p21a,Neurotoxic
P86522,Alpha-elapitoxin-Aa2a ,Neurotoxic
P86536,Coagulation factor X-activating enzyme heavy chain     ,Non-toxic
P86538,Cytotoxin 2a   ,Cardiotoxic
P86540,Cytotoxin 8 ,Cardiotoxic
P86541,Cytotoxin 10 ,Cardiotoxic
P86545,Thrombin-like enzyme TLP     ,Non-toxic
P86687,Hyaluronidase   ,Non-toxic
P86717,Spiderine-1b   ,Non-toxic
P86719,Spiderine-2b   ,Non-toxic
P86721,Bradykinin-potentiating peptide 12a  ,Neurotoxic
P86825,Venom peptide 1 ,Neurotoxic
P86828,Venom peptide 7.1  ,Non-toxic
P86870,Venom allergen 5     ,Non-toxic
P86975,Basic phospholipase A2 homolog blK-PLA2 ,Neurotoxic
P86989,Putative neurotoxin,Neurotoxic
P86990,Non-toxic venom protein,Neurotoxic
P86992,Putative beta-neurotoxin,Neurotoxic
Q02454,Cytotoxin  ,Cardiotoxic
Q05110,Venom allergen 5      ,Non-toxic
Q06478,Phospholipase A1 1    ,Non-toxic
Q072L7,Snake venom serine protease  ,Non-toxic
Q076D1,Zinc metalloproteinase-disintegrin-like crotastatin     ,Non-toxic
Q09GJ9,Cysteine-rich venom protein    ,Non-toxic
Q09GK0,Snaclec subunit B ,Non-toxic
Q09GK1,Snake venom serine protease  ,Non-toxic
Q09GK2,C-type natriuretic peptide ,Non-toxic
Q0GY41,Potassium channel toxin Hge-beta-KTx ,Neurotoxic
Q0GY43,Potassium channel toxin TdiKIK ,Neurotoxic
Q0GY44,Potassium channel toxin Tdi-beta-KTx ,Neurotoxic
Q0NZX6,Zinc metalloproteinase-disintegrin jararin   ,Non-toxic
Q0NZX7,Zinc metalloproteinase-disintegrin-like bothrojarin-4   ,Neurotoxic
Q0NZX8,Zinc metalloproteinase-disintegrin-like bothrojarin-3   ,Neurotoxic
Q0NZX9,Zinc metalloproteinase-disintegrin-like bothrojarin-2   ,Non-toxic
Q0NZY0,Zinc metalloproteinase-disintegrin-like bothrojarin-1   ,Neurotoxic
Q17230,Beta-insect depressant toxin BmKIT4  ,Neurotoxic
Q17231,Toxin BmKIT3  ,Neurotoxic
Q17254,Alpha-insect toxin Bot14  ,Non-toxic
Q1ELU0,M-zodatoxin-Lt2b   ,Non-toxic
Q1ELV0,M-zodatoxin-Lt7a   ,Non-toxic
Q1I163,Toxin Td8 ,Neurotoxic
Q1I164,Toxin Td7 ,Neurotoxic
Q1I165,Toxin Tz2 ,Neurotoxic
Q1I167,Toxin Td6 ,Neurotoxic
Q1I169,Toxin Td5 ,Neurotoxic
Q1I172,Toxin Td12 ,Neurotoxic
Q1I173,Toxin Td11 ,Neurotoxic
Q1I174,Toxin Td4 ,Neurotoxic
Q1I176,Toxin Td10 ,Neurotoxic
Q1I177,Toxin Td3 ,Neurotoxic
Q1I178,Toxin Td9 ,Neurotoxic
Q1I179,Toxin Td2 ,Neurotoxic
Q1I180,Toxin Td1 ,Neurotoxic
Q1RPS9,Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B5 chain,Neurotoxic
Q1RPT0,Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B4 chain,Neurotoxic
Q26350,Omega-conotoxin MVIID ,Neurotoxic
